Time,Logger Name,Level,Message,Line No
2024-04-23 14:18:48, main, INFO, server started, 29
2024-04-23 14:22:32, main, INFO, root page access, redirect to docs, 80
2024-04-23 14:28:36, main, INFO, server shutdown, 31
2024-04-23 14:28:37, main, INFO, server started, 29
2024-04-23 14:39:04, main, INFO, server shutdown, 31
2024-04-23 14:39:05, main, INFO, server started, 29
2024-04-23 14:40:29, main, INFO, server shutdown, 31
2024-04-23 14:40:31, main, INFO, server started, 29
2024-04-23 14:41:37, main, INFO, server shutdown, 31
2024-04-23 14:41:39, main, INFO, server started, 29
2024-04-23 14:48:22, main, INFO, server shutdown, 31
2024-04-23 14:48:24, main, INFO, server started, 29
2024-04-23 14:50:19, main, INFO, server shutdown, 31
2024-04-23 14:50:21, main, INFO, server started, 29
2024-04-23 14:55:35, main, INFO, server shutdown, 31
2024-04-23 14:55:37, main, INFO, server started, 29
2024-04-23 14:55:50, main, INFO, server shutdown, 31
2024-04-23 14:55:51, main, INFO, server started, 29
2024-04-23 14:57:44, main, INFO, server shutdown, 31
2024-04-23 14:57:46, main, INFO, server started, 29
2024-04-23 14:58:14, main, INFO, server shutdown, 31
2024-04-23 14:58:16, main, INFO, server started, 29
2024-04-23 14:59:35, main, INFO, server shutdown, 31
2024-04-23 14:59:37, main, INFO, server started, 29
2024-04-23 15:01:05, main, INFO, server shutdown, 31
2024-04-23 15:01:07, main, INFO, server started, 29
2024-04-23 15:02:31, main, INFO, server shutdown, 31
2024-04-23 15:02:33, main, INFO, server started, 29
2024-04-23 15:03:05, main, INFO, server shutdown, 31
2024-04-23 15:03:07, main, INFO, server started, 29
2024-04-23 15:04:31, main, INFO, server shutdown, 31
2024-04-23 15:04:33, main, INFO, server started, 29
2024-04-23 15:04:48, main, INFO, server shutdown, 31
2024-04-23 15:04:50, main, INFO, server started, 29
2024-04-23 17:33:40, main, INFO, server shutdown, 31
2024-04-23 17:33:42, main, INFO, server started, 29
2024-04-23 18:34:18, main, INFO, server started, 29
2024-04-23 18:34:19, main, INFO, server started, 29
2024-04-23 18:34:19, main, INFO, server started, 29
2024-04-23 18:34:20, main, INFO, server started, 29
