Time,Logger Name,Level,Message,Line No
2024-04-25 14:59:29, mobiles, INFO, /invoices used, 30
2024-04-25 14:59:37, mobiles, INFO, invoices scrapped, 37
2024-04-25 14:59:37, mobiles, INFO, invoices fetched, 46
2024-04-25 15:01:38, mobiles, INFO, /invoices used, 30
2024-04-25 15:01:45, mobiles, INFO, invoices scrapped, 37
2024-04-25 15:01:45, mobiles, INFO, invoices fetched, 46
2024-04-25 15:01:45, mobiles, INFO, invoices inserted to DB, 54
2024-04-25 15:01:45, mobiles, INFO, invoices inserted to DB, 60
